id;name;geoid;geoname;Price;datetime
600;Precio mercado SPOT Diario;3;España;38,99;2019-11-15T05:00:00+01:00
600;Precio mercado SPOT Diario;3;España;39,96;2019-11-15T06:00:00+01:00
600;Precio mercado SPOT Diario;3;España;47,46;2019-11-15T07:00:00+01:00
600;Precio mercado SPOT Diario;3;España;50,01;2019-11-15T08:00:00+01:00
600;Precio mercado SPOT Diario;3;España;53,01;2019-11-15T09:00:00+01:00
600;Precio mercado SPOT Diario;3;España;52,19;2019-11-15T10:00:00+01:00
600;Precio mercado SPOT Diario;3;España;51,23;2019-11-15T11:00:00+01:00
600;Precio mercado SPOT Diario;3;España;48,97;2019-11-15T12:00:00+01:00
600;Precio mercado SPOT Diario;3;España;48,79;2019-11-15T13:00:00+01:00
600;Precio mercado SPOT Diario;3;España;46,00;2019-11-15T14:00:00+01:00
600;Precio mercado SPOT Diario;3;España;46,00;2019-11-15T15:00:00+01:00
600;Precio mercado SPOT Diario;3;España;48,97;2019-11-15T16:00:00+01:00
600;Precio mercado SPOT Diario;3;España;54,54;2019-11-15T17:00:00+01:00
600;Precio mercado SPOT Diario;3;España;59,30;2019-11-15T18:00:00+01:00
600;Precio mercado SPOT Diario;3;España;60,46;2019-11-15T19:00:00+01:00
600;Precio mercado SPOT Diario;3;España;58,00;2019-11-15T20:00:00+01:00
600;Precio mercado SPOT Diario;3;España;54,24;2019-11-15T21:00:00+01:00
600;Precio mercado SPOT Diario;3;España;52,39;2019-11-15T22:00:00+01:00
600;Precio mercado SPOT Diario;3;España;49,55;2019-11-15T23:00:00+01:00
600;Precio mercado SPOT Diario;3;España;48,07;2019-11-16T00:00:00+01:00
600;Precio mercado SPOT Diario;3;España;43,49;2019-11-16T01:00:00+01:00
600;Precio mercado SPOT Diario;3;España;40,08;2019-11-16T02:00:00+01:00
600;Precio mercado SPOT Diario;3;España;38,99;2019-11-16T03:00:00+01:00
600;Precio mercado SPOT Diario;3;España;38,56;2019-11-16T04:00:00+01:00
600;Precio mercado SPOT Diario;3;España;39,60;2019-11-16T05:00:00+01:00
600;Precio mercado SPOT Diario;3;España;40,14;2019-11-16T06:00:00+01:00
600;Precio mercado SPOT Diario;3;España;42,56;2019-11-16T07:00:00+01:00
600;Precio mercado SPOT Diario;3;España;43,66;2019-11-16T08:00:00+01:00
600;Precio mercado SPOT Diario;3;España;50,16;2019-11-16T09:00:00+01:00
600;Precio mercado SPOT Diario;3;España;50,90;2019-11-16T10:00:00+01:00
600;Precio mercado SPOT Diario;3;España;50,16;2019-11-16T11:00:00+01:00
600;Precio mercado SPOT Diario;3;España;49,27;2019-11-16T12:00:00+01:00
600;Precio mercado SPOT Diario;3;España;47,65;2019-11-16T13:00:00+01:00
600;Precio mercado SPOT Diario;3;España;42,96;2019-11-16T14:00:00+01:00
600;Precio mercado SPOT Diario;3;España;39,81;2019-11-16T15:00:00+01:00
600;Precio mercado SPOT Diario;3;España;40,10;2019-11-16T16:00:00+01:00
600;Precio mercado SPOT Diario;3;España;46,01;2019-11-16T17:00:00+01:00
600;Precio mercado SPOT Diario;3;España;53,46;2019-11-16T18:00:00+01:00
600;Precio mercado SPOT Diario;3;España;54,54;2019-11-16T19:00:00+01:00
600;Precio mercado SPOT Diario;3;España;51,79;2019-11-16T20:00:00+01:00
600;Precio mercado SPOT Diario;3;España;49,27;2019-11-16T21:00:00+01:00
600;Precio mercado SPOT Diario;3;España;48,87;2019-11-16T22:00:00+01:00
600;Precio mercado SPOT Diario;3;España;47,88;2019-11-16T23:00:00+01:00
600;Precio mercado SPOT Diario;3;España;45,07;2019-11-17T00:00:00+01:00
600;Precio mercado SPOT Diario;3;España;42,42;2019-11-17T01:00:00+01:00
600;Precio mercado SPOT Diario;3;España;39,81;2019-11-17T02:00:00+01:00
600;Precio mercado SPOT Diario;3;España;37,40;2019-11-17T03:00:00+01:00
600;Precio mercado SPOT Diario;3;España;36,30;2019-11-17T04:00:00+01:00
600;Precio mercado SPOT Diario;3;España;36,46;2019-11-17T05:00:00+01:00
600;Precio mercado SPOT Diario;3;España;36,50;2019-11-17T06:00:00+01:00
600;Precio mercado SPOT Diario;3;España;37,40;2019-11-17T07:00:00+01:00
600;Precio mercado SPOT Diario;3;España;38,56;2019-11-17T08:00:00+01:00
600;Precio mercado SPOT Diario;3;España;41,19;2019-11-17T09:00:00+01:00
600;Precio mercado SPOT Diario;3;España;43,12;2019-11-17T10:00:00+01:00
600;Precio mercado SPOT Diario;3;España;43,81;2019-11-17T11:00:00+01:00
600;Precio mercado SPOT Diario;3;España;44,08;2019-11-17T12:00:00+01:00
600;Precio mercado SPOT Diario;3;España;42,32;2019-11-17T13:00:00+01:00
600;Precio mercado SPOT Diario;3;España;41,00;2019-11-17T14:00:00+01:00
600;Precio mercado SPOT Diario;3;España;41,01;2019-11-17T15:00:00+01:00
600;Precio mercado SPOT Diario;3;España;43,01;2019-11-17T16:00:00+01:00
600;Precio mercado SPOT Diario;3;España;48,11;2019-11-17T17:00:00+01:00
600;Precio mercado SPOT Diario;3;España;52,75;2019-11-17T18:00:00+01:00
600;Precio mercado SPOT Diario;3;España;55,15;2019-11-17T19:00:00+01:00
600;Precio mercado SPOT Diario;3;España;52,79;2019-11-17T20:00:00+01:00
600;Precio mercado SPOT Diario;3;España;50,73;2019-11-17T21:00:00+01:00
600;Precio mercado SPOT Diario;3;España;47,62;2019-11-17T22:00:00+01:00
600;Precio mercado SPOT Diario;3;España;43,43;2019-11-17T23:00:00+01:00
600;Precio mercado SPOT Diario;3;España;43,28;2019-11-18T00:00:00+01:00
600;Precio mercado SPOT Diario;3;España;40,74;2019-11-18T01:00:00+01:00
600;Precio mercado SPOT Diario;3;España;39,69;2019-11-18T02:00:00+01:00
600;Precio mercado SPOT Diario;3;España;36,89;2019-11-18T03:00:00+01:00
600;Precio mercado SPOT Diario;3;España;35,68;2019-11-18T04:00:00+01:00
600;Precio mercado SPOT Diario;3;España;39,00;2019-11-18T05:00:00+01:00
